Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Barcelona,38,87,27,6,5,105,35
2,Real Madrid,38,78,25,3,10,83,52
3,Sevilla,38,70,21,7,10,54,39
4,Atletico Madrid,38,67,20,7,11,80,57
5,Villarreal,38,65,18,11,9,61,54
6,Valencia,38,62,18,8,12,68,54
7,Deportivo La Coruna,38,58,16,10,12,48,47
8,Malaga,38,55,15,10,13,55,59
9,Mallorca,38,51,14,9,15,53,60
10,Espanyol,38,47,12,11,15,46,49
11,Almeria,38,46,13,7,18,45,61
12,Racing Santander,38,46,12,10,16,49,48
13,Athletic Bilbao,38,44,12,8,18,47,62
14,Sporting Gijon,38,43,14,1,23,47,79
15,Osasuna,38,43,10,13,15,41,47
16,Valladolid,38,43,12,7,19,46,58
17,Getafe,38,42,10,12,16,50,56
18,Real Betis,38,42,10,12,16,51,58
19,Numancia,38,35,10,5,23,38,69
20,Recreativo Huelva,38,33,8,9,21,34,57
