Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Valencia,38,75,21,12,5,51,27
2,Deportivo La Coruna,38,68,20,8,10,65,41
3,Real Madrid,38,66,19,9,10,69,44
4,Barcelona,38,64,18,10,10,65,37
5,Celta Vigo,38,60,16,12,10,64,46
6,Real Betis,38,59,15,14,9,42,34
7,Alaves,38,54,17,3,18,41,44
8,Athletic Bilbao,38,53,14,11,13,54,66
9,Malaga,38,53,13,14,11,44,44
10,Sevilla,38,53,14,11,13,51,40
11,Rayo Vallecano,38,49,13,10,15,46,52
12,Valladolid,38,48,13,9,16,45,58
13,Espanyol,38,47,13,8,17,47,56
14,Real Sociedad,38,47,13,8,17,48,54
15,Mallorca,38,43,11,10,17,40,52
16,Villarreal,38,43,11,10,17,46,55
17,Osasuna,38,42,10,12,16,36,49
18,Las Palmas,38,40,9,13,16,40,50
19,Tenerife,38,38,10,8,20,32,58
20,Zaragoza,38,37,9,10,19,35,54
