Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Barcelona,38,96,30,6,2,95,21
2,Real Madrid,38,92,29,5,4,102,33
3,Valencia,38,71,21,8,9,64,44
4,Villarreal,38,62,18,8,12,54,44
5,Sevilla,38,58,17,7,14,62,61
6,Athletic Bilbao,38,58,18,4,16,59,55
7,Atletico Madrid,38,58,17,7,14,62,53
8,Espanyol,38,49,15,4,19,46,55
9,Osasuna,38,47,13,8,17,45,46
10,Sporting Gijon,38,47,11,14,13,35,42
11,Malaga,38,46,13,7,18,54,68
12,Racing Santander,38,46,12,10,16,41,56
13,Zaragoza,38,45,12,9,17,40,53
14,Levante,38,45,12,9,17,41,52
15,Real Sociedad,38,45,14,3,21,49,66
16,Getafe,38,44,12,8,18,49,60
17,Mallorca,38,44,12,8,18,41,56
18,Deportivo La Coruna,38,43,10,13,15,31,47
19,Hercules,38,35,9,8,21,36,60
20,Almeria,38,30,6,12,20,36,70
