Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Real Madrid,38,100,32,4,2,121,32
2,Barcelona,38,91,28,7,3,114,29
3,Valencia,38,61,17,10,11,59,44
4,Malaga,38,58,17,7,14,54,53
5,Atletico Madrid,38,56,15,11,12,53,46
6,Levante,38,55,16,7,15,54,50
7,Osasuna,38,54,13,15,10,44,61
8,Mallorca,38,52,14,10,14,42,46
9,Sevilla,38,50,13,11,14,48,47
10,Athletic Bilbao,38,49,12,13,13,49,52
11,Getafe,38,47,12,11,15,40,51
12,Real Sociedad,38,47,12,11,15,46,52
13,Real Betis,38,47,13,8,17,47,56
14,Espanyol,38,46,12,10,16,46,56
15,Rayo Vallecano,38,43,13,4,21,53,73
16,Zaragoza,38,43,12,7,19,36,61
17,Granada,38,42,12,6,20,35,56
18,Villarreal,38,41,9,14,15,39,53
19,Sporting Gijon,38,37,10,7,21,42,69
20,Racing Santander,38,27,4,15,19,28,63
