Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Valencia,38,77,23,8,7,71,27
2,Barcelona,38,72,21,9,8,63,39
3,Deportivo La Coruna,38,71,21,8,9,60,34
4,Real Madrid,38,70,21,7,10,72,54
5,Athletic Bilbao,38,56,15,11,12,53,49
6,Atletico Madrid,38,55,15,10,13,51,53
7,Sevilla,38,55,15,10,13,56,45
8,Villarreal,38,54,15,9,14,47,49
9,Real Betis,38,52,13,13,12,46,43
10,Malaga,38,51,15,6,17,50,55
11,Mallorca,38,51,15,6,17,54,66
12,Osasuna,38,48,11,15,12,38,37
13,Zaragoza,38,48,13,9,16,46,55
14,Albacete,38,47,13,8,17,40,48
15,Real Sociedad,38,46,11,13,14,49,53
16,Espanyol,38,43,13,4,21,48,64
17,Racing Santander,38,43,11,10,17,48,63
18,Valladolid,38,41,10,11,17,46,56
19,Celta Vigo,38,39,9,12,17,48,68
20,Real Murcia,38,26,5,11,22,29,57
