Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Real Madrid,38,85,27,4,7,84,36
2,Villarreal,38,77,24,5,9,63,40
3,Barcelona,38,67,19,10,9,76,43
4,Atletico Madrid,38,64,19,7,12,66,47
5,Sevilla,38,64,20,4,14,75,49
6,Racing Santander,38,60,17,9,12,42,41
7,Mallorca,38,59,15,14,9,69,54
8,Almeria,38,52,14,10,14,42,45
9,Deportivo La Coruna,38,52,15,7,16,46,47
10,Valencia,38,51,15,6,17,48,62
11,Athletic Bilbao,38,50,13,11,14,40,43
12,Espanyol,38,48,13,9,16,43,53
13,Real Betis,38,47,12,11,15,45,51
14,Getafe,38,47,12,11,15,44,48
15,Valladolid,38,45,11,12,15,42,57
16,Recreativo Huelva,38,44,11,11,16,40,60
17,Osasuna,38,43,12,7,19,37,44
18,Zaragoza,38,42,10,12,16,50,61
19,Real Murcia,38,30,7,9,22,36,65
20,Levante,38,26,7,5,26,33,75
