Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Barcelona,38,94,30,4,4,110,21
2,Real Madrid,38,92,30,2,6,118,38
3,Atletico Madrid,38,78,23,9,6,67,29
4,Valencia,38,77,22,11,5,70,32
5,Sevilla,38,76,23,7,8,71,45
6,Villarreal,38,60,16,12,10,48,37
7,Athletic Bilbao,38,55,15,10,13,42,41
8,Celta Vigo,38,51,13,12,13,47,44
9,Malaga,38,50,14,8,16,42,48
10,Espanyol,38,49,13,10,15,47,51
11,Rayo Vallecano,38,49,15,4,19,46,68
12,Real Sociedad,38,46,11,13,14,44,51
13,Elche,38,41,11,8,19,35,62
14,Levante,38,37,9,10,19,34,67
15,Getafe,38,37,10,7,21,33,64
16,Deportivo La Coruna,38,35,7,14,17,35,60
17,Granada,38,35,7,14,17,29,64
18,Eibar,38,35,9,8,21,34,55
19,Almeria,38,32,8,8,22,35,64
20,Cordoba,38,20,3,11,24,22,68
