Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Atletico Madrid,38,90,28,6,4,77,26
2,Barcelona,38,87,27,6,5,100,33
3,Real Madrid,38,87,27,6,5,104,38
4,Athletic Bilbao,38,70,20,10,8,66,39
5,Sevilla,38,63,18,9,11,69,52
6,Villarreal,38,59,17,8,13,60,44
7,Real Sociedad,38,59,16,11,11,62,55
8,Valencia,38,49,13,10,15,51,53
9,Celta Vigo,38,49,14,7,17,49,54
10,Levante,38,48,12,12,14,35,43
11,Malaga,38,45,12,9,17,39,46
12,Rayo Vallecano,38,43,13,4,21,46,80
13,Getafe,38,42,11,9,18,35,54
14,Espanyol,38,42,11,9,18,41,51
15,Granada,38,41,12,5,21,32,56
16,Elche,38,40,9,13,16,30,50
17,Almeria,38,40,11,7,20,43,71
18,Osasuna,38,39,10,9,19,32,62
19,Valladolid,38,36,7,15,16,38,60
20,Real Betis,38,25,6,7,25,36,78
