Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Real Madrid,38,78,22,12,4,86,42
2,Real Sociedad,38,76,22,10,6,71,45
3,Deportivo La Coruna,38,72,22,6,10,67,47
4,Celta Vigo,38,61,17,10,11,45,36
5,Valencia,38,60,17,9,12,56,35
6,Barcelona,38,56,15,11,12,63,47
7,Athletic Bilbao,38,55,15,10,13,63,61
8,Real Betis,38,54,14,12,12,56,53
9,Mallorca,38,52,14,10,14,49,56
10,Sevilla,38,50,13,11,14,38,39
11,Atletico Madrid,38,47,12,11,15,51,56
12,Osasuna,38,47,12,11,15,40,48
13,Malaga,38,46,11,13,14,44,49
14,Valladolid,38,46,12,10,16,37,40
15,Villarreal,38,45,11,12,15,44,53
16,Racing Santander,38,44,13,5,20,54,64
17,Espanyol,38,43,10,13,15,48,54
18,Recreativo Huelva,38,36,8,12,18,35,61
19,Alaves,38,35,8,11,19,38,68
20,Rayo Vallecano,38,32,7,11,20,31,62
