Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Barcelona,38,100,32,4,2,115,40
2,Real Madrid,38,85,26,7,5,103,42
3,Atletico Madrid,38,76,23,7,8,65,31
4,Real Sociedad,38,66,18,12,8,70,49
5,Valencia,38,65,19,8,11,67,54
6,Malaga,38,57,16,9,13,53,50
7,Real Betis,38,56,16,8,14,57,56
8,Rayo Vallecano,38,53,16,5,17,50,66
9,Sevilla,38,50,14,8,16,58,54
10,Getafe,38,47,13,8,17,43,57
11,Levante,38,46,12,10,16,40,57
12,Athletic Bilbao,38,45,12,9,17,44,65
13,Espanyol,38,44,11,11,16,43,52
14,Valladolid,38,43,11,10,17,49,58
15,Granada,38,42,11,9,18,37,54
16,Osasuna,38,39,10,9,19,33,50
17,Celta Vigo,38,37,10,7,21,37,52
18,Mallorca,38,36,9,9,20,43,72
19,Deportivo La Coruna,38,35,8,11,19,47,70
20,Zaragoza,38,34,9,7,22,37,62
