Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Barcelona,38,91,29,4,5,112,29
2,Real Madrid,38,90,28,6,4,110,34
3,Atletico Madrid,38,88,28,4,6,63,18
4,Villarreal,38,64,18,10,10,44,35
5,Athletic Bilbao,38,62,18,8,12,58,45
6,Celta Vigo,38,60,17,9,12,51,59
7,Sevilla,38,52,14,10,14,51,50
8,Malaga,38,48,12,12,14,38,35
9,Real Sociedad,38,48,13,9,16,45,48
10,Real Betis,38,45,11,12,15,34,52
11,Las Palmas,38,44,12,8,18,45,53
12,Valencia,38,44,11,11,16,46,48
13,Espanyol,38,43,12,7,19,40,74
14,Eibar,38,43,11,10,17,49,61
15,Deportivo La Coruna,38,42,8,18,12,45,61
16,Granada,38,39,10,9,19,46,69
17,Sporting Gijon,38,39,10,9,19,40,62
18,Rayo Vallecano,38,38,9,11,18,52,73
19,Getafe,38,36,9,9,20,37,67
20,Levante,38,32,8,8,22,37,70
