Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Barcelona,38,99,31,6,1,98,24
2,Real Madrid,38,96,31,3,4,102,35
3,Valencia,38,71,21,8,9,59,40
4,Sevilla,38,63,19,6,13,65,49
5,Mallorca,38,62,18,8,12,59,44
6,Getafe,38,58,17,7,14,58,48
7,Villarreal,38,56,16,8,14,58,57
8,Athletic Bilbao,38,54,15,9,14,50,53
9,Atletico Madrid,38,47,13,8,17,57,61
10,Deportivo La Coruna,38,47,13,8,17,35,49
11,Espanyol,38,44,11,11,16,29,46
12,Osasuna,38,43,11,10,17,37,46
13,Almeria,38,42,10,12,16,43,55
14,Zaragoza,38,41,10,11,17,46,64
15,Sporting Gijon,38,40,9,13,16,36,51
16,Racing Santander,38,39,9,12,17,42,59
17,Malaga,38,37,7,16,15,42,48
18,Valladolid,38,36,7,15,16,37,62
19,Tenerife,38,36,9,9,20,40,74
20,Xerez,38,34,8,10,20,38,66
