Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Barcelona,38,84,25,9,4,73,29
2,Real Madrid,38,80,25,5,8,71,32
3,Villarreal,38,65,18,11,9,69,37
4,Real Betis,38,62,16,14,8,62,50
5,Espanyol,38,61,17,10,11,54,46
6,Sevilla,38,60,17,9,12,44,41
7,Valencia,38,58,14,16,8,54,39
8,Athletic Bilbao,38,51,14,9,15,59,54
9,Deportivo La Coruna,38,51,12,15,11,46,50
10,Malaga,38,51,15,6,17,40,48
11,Atletico Madrid,38,50,13,11,14,40,34
12,Zaragoza,38,50,14,8,16,52,57
13,Getafe,38,47,12,11,15,38,46
14,Real Sociedad,38,47,13,8,17,47,56
15,Osasuna,38,46,12,10,16,46,65
16,Racing Santander,38,44,12,8,18,41,58
17,Mallorca,38,39,10,9,19,42,63
18,Levante,38,37,9,10,19,39,58
19,Numancia,38,29,6,11,21,30,61
20,Albacete,38,28,6,10,22,33,56
