Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Real Madrid,38,93,29,6,3,106,41
2,Barcelona,38,90,28,6,4,116,37
3,Atletico Madrid,38,78,23,9,6,70,27
4,Sevilla,38,72,21,9,8,69,49
5,Villarreal,38,67,19,10,9,56,33
6,Real Sociedad,38,64,19,7,12,59,53
7,Athletic Bilbao,38,63,19,6,13,53,43
8,Espanyol,38,56,15,11,12,49,50
9,Alaves,38,55,14,13,11,41,43
10,Eibar,38,54,15,9,14,56,51
11,Malaga,38,46,12,10,16,49,55
12,Valencia,38,46,13,7,18,56,65
13,Celta Vigo,38,45,13,6,19,53,69
14,Las Palmas,38,39,10,9,19,53,74
15,Real Betis,38,39,10,9,19,41,64
16,Deportivo La Coruna,38,36,8,12,18,43,61
17,Leganes,38,35,8,11,19,36,55
18,Sporting Gijon,38,31,7,10,21,42,72
19,Osasuna,38,22,4,10,24,40,94
20,Granada,38,20,4,8,26,30,82
