Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Real Madrid,38,76,23,7,8,66,40
2,Barcelona,38,76,22,10,6,78,33
3,Sevilla,38,71,21,8,9,64,35
4,Valencia,38,66,20,6,12,57,42
5,Villarreal,38,62,18,8,12,48,44
6,Zaragoza,38,60,16,12,10,55,43
7,Atletico Madrid,38,60,17,9,12,46,39
8,Recreativo Huelva,38,54,15,9,14,54,52
9,Getafe,38,52,14,10,14,39,33
10,Racing Santander,38,50,12,14,12,42,48
11,Espanyol,38,49,12,13,13,46,53
12,Mallorca,38,49,14,7,17,41,47
13,Deportivo La Coruna,38,47,12,11,15,32,45
14,Osasuna,38,46,13,7,18,51,49
15,Levante,38,42,10,12,16,37,53
16,Real Betis,38,40,8,16,14,36,49
17,Athletic Bilbao,38,40,10,10,18,44,62
18,Celta Vigo,38,39,10,9,19,40,59
19,Real Sociedad,38,35,8,11,19,32,47
20,Gimnastic,38,28,7,7,24,34,69
