Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Chelsea,38,86,27,5,6,103,32
2,Manchester United,38,85,27,4,7,86,28
3,Arsenal,38,75,23,6,9,83,41
4,Tottenham,38,70,21,7,10,67,41
5,Manchester City,38,67,18,13,7,73,45
6,Aston Villa,38,64,17,13,8,52,39
7,Liverpool,38,63,18,9,11,61,35
8,Everton,38,61,16,13,9,60,49
9,Birmingham,38,50,13,11,14,38,47
10,Blackburn,38,50,13,11,14,41,55
11,Stoke,38,47,11,14,13,34,48
12,Fulham,38,46,12,10,16,39,46
13,Sunderland,38,44,11,11,16,48,56
14,Bolton,38,39,10,9,19,42,67
15,Wolverhampton Wanderers,38,38,9,11,18,32,56
16,Wigan,38,36,9,9,20,37,79
17,West Ham,38,35,8,11,19,47,66
18,Burnley,38,30,8,6,24,42,82
19,Hull,38,30,6,12,20,34,75
20,Portsmouth,38,28,7,7,24,34,66
