Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Manchester United,38,87,27,6,5,80,22
2,Chelsea,38,85,25,10,3,65,26
3,Arsenal,38,83,24,11,3,74,31
4,Liverpool,38,76,21,13,4,67,28
5,Everton,38,65,19,8,11,55,33
6,Aston Villa,38,60,16,12,10,71,51
7,Blackburn,38,58,15,13,10,50,48
8,Portsmouth,38,57,16,9,13,48,40
9,Manchester City,38,55,15,10,13,45,53
10,West Ham,38,49,13,10,15,42,50
11,Tottenham,38,46,11,13,14,66,61
12,Newcastle United,38,43,11,10,17,45,65
13,Middlesbrough,38,42,10,12,16,43,53
14,Wigan,38,40,10,10,18,34,51
15,Sunderland,38,39,11,6,21,36,59
16,Bolton,38,37,9,10,19,36,54
17,Fulham,38,36,8,12,18,38,60
18,Reading,38,36,10,6,22,41,66
19,Birmingham,38,35,8,11,19,46,62
20,Derby,38,11,1,8,29,20,89
