Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Manchester City,38,86,27,5,6,102,37
2,Liverpool,38,84,26,6,6,101,50
3,Chelsea,38,82,25,7,6,71,27
4,Arsenal,38,79,24,7,7,68,41
5,Everton,38,72,21,9,8,61,39
6,Tottenham,38,69,21,6,11,55,51
7,Manchester United,38,64,19,7,12,64,43
8,Southampton,38,56,15,11,12,54,46
9,Stoke,38,50,13,11,14,45,52
10,Newcastle United,38,49,15,4,19,43,59
11,Crystal Palace,38,45,13,6,19,33,48
12,Swansea,38,42,11,9,18,54,54
13,West Ham,38,40,11,7,20,40,51
14,Sunderland,38,38,10,8,20,41,60
15,Aston Villa,38,38,10,8,20,39,61
16,Hull,38,37,10,7,21,38,53
17,West Bromwich Albion,38,36,7,15,16,43,59
18,Norwich,38,33,8,9,21,28,62
19,Fulham,38,32,9,5,24,40,85
20,Cardiff,38,30,7,9,22,32,74
