Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Chelsea,38,91,29,4,5,72,22
2,Manchester United,38,83,25,8,5,72,34
3,Liverpool,38,82,25,7,6,57,25
4,Arsenal,38,67,20,7,11,68,31
5,Tottenham,38,65,18,11,9,53,38
6,Blackburn,38,63,19,6,13,51,42
7,Newcastle United,38,58,17,7,14,47,42
8,Bolton,38,56,15,11,12,49,41
9,West Ham,38,55,16,7,15,52,55
10,Wigan,38,51,15,6,17,45,52
11,Everton,38,50,14,8,16,34,49
12,Fulham,38,48,14,6,18,48,58
13,Charlton,38,47,13,8,17,41,55
14,Middlesbrough,38,45,12,9,17,48,58
15,Manchester City,38,43,13,4,21,43,48
16,Aston Villa,38,42,10,12,16,42,55
17,Portsmouth,38,38,10,8,20,37,62
18,Birmingham,38,34,8,10,20,28,50
19,West Bromwich Albion,38,30,7,9,22,31,58
20,Sunderland,38,15,3,6,29,26,69
