Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Manchester City,38,89,28,5,5,93,29
2,Manchester United,38,89,28,5,5,89,33
3,Arsenal,38,70,21,7,10,74,49
4,Tottenham,38,69,20,9,9,66,41
5,Newcastle United,38,65,19,8,11,56,51
6,Chelsea,38,64,18,10,10,65,46
7,Everton,38,56,15,11,12,50,40
8,Liverpool,38,52,14,10,14,47,40
9,Fulham,38,52,14,10,14,48,51
10,West Bromwich Albion,38,47,13,8,17,45,52
11,Swansea,38,47,12,11,15,44,51
12,Norwich,38,47,12,11,15,52,66
13,Sunderland,38,45,11,12,15,45,46
14,Stoke,38,45,11,12,15,36,53
15,Wigan,38,43,11,10,17,42,62
16,Aston Villa,38,38,7,17,14,37,53
17,Queens Park Rangers,38,37,10,7,21,43,66
18,Bolton,38,36,10,6,22,46,77
19,Blackburn,38,31,8,7,23,48,78
20,Wolverhampton Wanderers,38,25,5,10,23,40,82
