Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Manchester United,38,89,28,5,5,86,43
2,Manchester City,38,78,23,9,6,66,34
3,Chelsea,38,75,22,9,7,75,39
4,Arsenal,38,73,21,10,7,72,37
5,Tottenham,38,72,21,9,8,66,46
6,Everton,38,63,16,15,7,55,40
7,Liverpool,38,61,16,13,9,71,43
8,West Bromwich Albion,38,49,14,7,17,53,57
9,Swansea,38,46,11,13,14,47,51
10,West Ham,38,46,12,10,16,45,53
11,Norwich,38,44,10,14,14,41,58
12,Fulham,38,43,11,10,17,50,60
13,Stoke,38,42,9,15,14,34,45
14,Southampton,38,41,9,14,15,49,60
15,Aston Villa,38,41,10,11,17,47,69
16,Newcastle United,38,41,11,8,19,45,68
17,Sunderland,38,39,9,12,17,41,54
18,Wigan,38,36,9,9,20,47,73
19,Reading,38,28,6,10,22,43,73
20,Queens Park Rangers,38,25,4,13,21,30,60
