Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Chelsea,38,87,26,9,3,73,32
2,Manchester City,38,79,24,7,7,83,38
3,Arsenal,38,75,22,9,7,71,36
4,Manchester United,38,70,20,10,8,62,37
5,Tottenham,38,64,19,7,12,58,53
6,Liverpool,38,62,18,8,12,52,48
7,Southampton,38,60,18,6,14,54,33
8,Swansea,38,56,16,8,14,46,49
9,Stoke,38,54,15,9,14,48,45
10,Crystal Palace,38,48,13,9,16,47,51
11,Everton,38,47,12,11,15,48,50
12,West Ham,38,47,12,11,15,44,47
13,West Bromwich Albion,38,44,11,11,16,38,51
14,Leicester,38,41,11,8,19,46,55
15,Newcastle United,38,39,10,9,19,40,63
16,Sunderland,38,38,7,17,14,31,53
17,Aston Villa,38,38,10,8,20,31,57
18,Hull,38,35,8,11,19,33,51
19,Burnley,38,33,7,12,19,28,53
20,Queens Park Rangers,38,30,8,6,24,42,73
