Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Manchester United,38,80,23,11,4,78,37
2,Chelsea,38,71,21,8,9,69,33
3,Manchester City,38,71,21,8,9,60,33
4,Arsenal,38,68,19,11,8,72,43
5,Tottenham,38,62,16,14,8,55,46
6,Liverpool,38,58,17,7,14,59,44
7,Everton,38,54,13,15,10,51,45
8,Fulham,38,49,11,16,11,49,43
9,Aston Villa,38,48,12,12,14,48,59
10,Sunderland,38,47,12,11,15,45,56
11,West Bromwich Albion,38,47,12,11,15,56,71
12,Newcastle United,38,46,11,13,14,56,57
13,Stoke,38,46,13,7,18,46,48
14,Bolton,38,46,12,10,16,52,56
15,Blackburn,38,43,11,10,17,46,59
16,Wigan,38,42,9,15,14,40,61
17,Wolverhampton Wanderers,38,40,11,7,20,46,66
18,Birmingham,38,39,8,15,15,37,58
19,Blackpool,38,39,10,9,19,55,78
20,West Ham,38,33,7,12,19,43,70
