Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Manchester United,38,89,28,5,5,83,27
2,Chelsea,38,83,24,11,3,64,24
3,Liverpool,38,68,20,8,10,57,27
4,Arsenal,38,68,19,11,8,63,35
5,Tottenham,38,60,17,9,12,57,54
6,Everton,38,58,15,13,10,52,36
7,Bolton,38,56,16,8,14,47,52
8,Reading,38,55,16,7,15,52,47
9,Portsmouth,38,54,14,12,12,45,42
10,Blackburn,38,52,15,7,16,52,54
11,Aston Villa,38,50,11,17,10,43,41
12,Middlesbrough,38,46,12,10,16,44,49
13,Newcastle United,38,43,11,10,17,38,47
14,Manchester City,38,42,11,9,18,29,44
15,West Ham,38,41,12,5,21,35,59
16,Fulham,38,39,8,15,15,38,60
17,Wigan,38,38,10,8,20,37,59
18,Sheffield United,38,38,10,8,20,32,55
19,Charlton,38,34,8,10,20,34,60
20,Watford,38,28,5,13,20,29,59
