Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
real-madrid,38,27,7,4,84,36,85,2.236842105263158
fc-villarreal,38,24,9,5,63,40,77,2.026315789473684
fc-barcelona,38,19,9,10,76,43,67,1.763157894736842
atletico-madrid,38,19,12,7,66,47,64,1.6842105263157894
fc-sevilla,38,20,14,4,75,49,64,1.6842105263157894
racing-santander,38,17,12,9,42,41,60,1.5789473684210527
rcd-mallorca,38,15,9,14,69,54,59,1.5526315789473684
ud-almeria,38,14,14,10,41,45,52,1.368421052631579
deportivo-la-coruna,38,15,16,7,46,47,52,1.368421052631579
fc-valencia,38,15,17,6,48,62,51,1.3421052631578947
athletic-bilbao,38,13,14,11,40,43,50,1.3157894736842106
espanyol-barcelona,38,13,16,9,43,52,48,1.263157894736842
real-betis-sevilla,38,12,15,11,45,51,47,1.236842105263158
fc-getafe,38,12,15,11,44,48,47,1.236842105263158
real-valladolid,38,11,15,12,42,57,45,1.1842105263157894
recreativo-huelva,38,11,16,11,40,60,44,1.1578947368421053
ca-osasuna,38,12,19,7,37,44,43,1.131578947368421
real-saragossa,38,10,16,12,50,61,42,1.105263157894737
real-murcia,38,7,22,9,36,65,30,0.7894736842105263
ud-levante,38,7,26,5,33,75,26,0.6842105263157895
