Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-barcelona,38,30,2,6,95,21,96,2.526315789473684
real-madrid,38,29,4,5,102,33,92,2.4210526315789473
fc-valencia,38,21,9,8,64,44,71,1.868421052631579
fc-villarreal,38,18,12,8,54,44,62,1.631578947368421
fc-sevilla,38,17,14,7,62,61,58,1.5263157894736843
athletic-bilbao,38,18,16,4,59,55,58,1.5263157894736843
atletico-madrid,38,17,14,7,62,53,58,1.5263157894736843
espanyol-barcelona,38,15,19,4,46,55,49,1.2894736842105263
ca-osasuna,38,13,17,8,45,46,47,1.236842105263158
sporting-gijon,38,11,13,14,35,42,47,1.236842105263158
fc-malaga,38,13,18,7,54,68,46,1.2105263157894737
racing-santander,38,12,16,10,41,56,46,1.2105263157894737
real-saragossa,38,12,17,9,40,53,45,1.1842105263157894
real-sociedad-san-sebastian,38,14,21,3,49,66,45,1.1842105263157894
ud-levante,38,12,17,9,41,52,45,1.1842105263157894
fc-getafe,38,12,18,8,49,60,44,1.1578947368421053
rcd-mallorca,38,12,18,8,41,56,44,1.1578947368421053
deportivo-la-coruna,38,10,15,13,31,47,43,1.131578947368421
hercules-alicante,38,9,21,8,36,60,35,0.9210526315789473
ud-almeria,38,6,20,12,36,70,30,0.7894736842105263
