Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-barcelona,38,27,5,6,105,35,87,2.289473684210526
real-madrid,38,25,10,3,83,52,78,2.0526315789473686
fc-sevilla,38,21,10,7,54,39,70,1.8421052631578947
atletico-madrid,38,20,11,7,80,57,67,1.763157894736842
fc-villarreal,38,18,9,11,61,54,65,1.7105263157894737
fc-valencia,38,18,12,8,68,54,62,1.631578947368421
deportivo-la-coruna,38,16,12,10,48,47,58,1.5263157894736843
fc-malaga,38,15,13,10,55,59,55,1.4473684210526316
rcd-mallorca,38,14,15,9,53,60,51,1.3421052631578947
espanyol-barcelona,38,12,15,11,46,49,47,1.236842105263158
ud-almeria,38,13,18,7,45,61,46,1.2105263157894737
racing-santander,38,12,16,10,49,48,46,1.2105263157894737
athletic-bilbao,38,12,18,8,47,62,44,1.1578947368421053
sporting-gijon,38,14,23,1,47,79,43,1.131578947368421
real-valladolid,38,12,19,7,46,58,43,1.131578947368421
ca-osasuna,38,10,15,13,41,47,43,1.131578947368421
fc-getafe,38,10,16,12,50,56,42,1.105263157894737
real-betis-sevilla,38,10,16,12,51,58,42,1.105263157894737
cd-numancia,38,10,23,5,38,69,35,0.9210526315789473
recreativo-huelva,38,8,21,9,34,57,33,0.868421052631579
