Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-barcelona,38,30,4,4,110,21,94,2.473684210526316
real-madrid,38,30,6,2,118,38,92,2.4210526315789473
atletico-madrid,38,23,6,9,67,29,78,2.0526315789473686
fc-valencia,38,22,5,11,70,32,77,2.026315789473684
fc-sevilla,38,23,8,7,71,45,76,2.0
fc-villarreal,38,16,10,12,48,37,60,1.5789473684210527
athletic-bilbao,38,15,13,10,42,41,55,1.4473684210526316
celta-vigo,38,13,13,12,47,44,51,1.3421052631578947
fc-malaga,38,14,16,8,42,48,50,1.3157894736842106
espanyol-barcelona,38,13,15,10,47,51,49,1.2894736842105263
rayo-vallecano,38,15,19,4,46,68,49,1.2894736842105263
real-sociedad-san-sebastian,38,11,14,13,44,51,46,1.2105263157894737
fc-elche,38,11,19,8,35,62,41,1.0789473684210527
ud-levante,38,9,19,10,34,67,37,0.9736842105263158
fc-getafe,38,10,21,7,33,64,37,0.9736842105263158
deportivo-la-coruna,38,7,17,14,35,60,35,0.9210526315789473
fc-granada,38,7,17,14,29,64,35,0.9210526315789473
sd-eibar,38,9,21,8,34,55,35,0.9210526315789473
ud-almeria,38,8,22,8,35,64,32,0.8421052631578947
fc-cordoba,38,3,24,11,22,68,20,0.5263157894736842
