Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
real-madrid,38,23,8,7,66,40,76,2.0
fc-barcelona,38,22,6,10,78,33,76,2.0
fc-sevilla,38,21,9,8,64,35,71,1.868421052631579
fc-valencia,38,20,12,6,57,42,66,1.736842105263158
fc-villarreal,38,18,12,8,48,44,62,1.631578947368421
real-saragossa,38,16,10,12,55,43,60,1.5789473684210527
atletico-madrid,38,17,12,9,46,39,60,1.5789473684210527
recreativo-huelva,38,15,14,9,54,52,54,1.4210526315789473
fc-getafe,38,14,14,10,39,33,52,1.368421052631579
racing-santander,38,12,12,14,42,48,50,1.3157894736842106
espanyol-barcelona,38,12,13,13,46,53,49,1.2894736842105263
rcd-mallorca,38,14,17,7,41,47,49,1.2894736842105263
deportivo-la-coruna,38,12,15,11,32,45,47,1.236842105263158
ca-osasuna,38,13,18,7,51,49,46,1.2105263157894737
ud-levante,38,10,16,12,37,53,42,1.105263157894737
real-betis-sevilla,38,8,14,16,36,49,40,1.0526315789473684
athletic-bilbao,38,10,18,10,44,62,40,1.0526315789473684
celta-vigo,38,10,19,9,40,59,39,1.0263157894736843
real-sociedad-san-sebastian,38,8,19,11,32,47,35,0.9210526315789473
gimnastic-de-tarragona,38,7,24,7,34,69,28,0.7368421052631579
