Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-barcelona,38,24,7,7,87,43,79,2.0789473684210527
real-madrid,38,21,12,5,77,62,68,1.7894736842105263
rcd-mallorca,38,20,12,6,48,31,66,1.736842105263158
fc-valencia,38,19,11,8,63,39,65,1.7105263157894737
celta-vigo,38,17,8,13,69,41,64,1.6842105263157894
deportivo-la-coruna,38,17,9,12,55,43,63,1.6578947368421053
espanyol-barcelona,38,16,9,13,49,38,61,1.605263157894737
athletic-bilbao,38,17,12,9,53,47,60,1.5789473684210527
real-saragossa,38,16,13,9,57,46,57,1.5
real-sociedad-san-sebastian,38,14,12,12,47,43,54,1.4210526315789473
real-betis-sevilla,38,14,17,7,47,58,49,1.2894736842105263
real-valladolid,38,13,16,9,35,44,48,1.263157894736842
atletico-madrid,38,12,16,10,54,50,46,1.2105263157894737
real-oviedo,38,11,15,12,41,57,45,1.1842105263157894
racing-santander,38,10,16,12,41,53,42,1.105263157894737
deportivo-alaves,38,11,20,7,36,63,40,1.0526315789473684
cf-extremadura,38,9,17,12,27,53,39,1.0263157894736843
fc-villarreal,38,8,18,12,47,63,36,0.9473684210526315
cd-teneriffa,38,7,18,13,41,63,34,0.8947368421052632
ud-salamanca,38,7,25,6,29,66,27,0.7105263157894737
