Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-barcelona,38,32,2,4,115,40,100,2.6315789473684212
real-madrid,38,26,5,7,103,42,85,2.236842105263158
atletico-madrid,38,23,8,7,65,31,76,2.0
real-sociedad-san-sebastian,38,18,8,12,70,49,66,1.736842105263158
fc-valencia,38,19,11,8,67,54,65,1.7105263157894737
fc-malaga,38,16,13,9,53,50,57,1.5
real-betis-sevilla,38,16,14,8,57,56,56,1.4736842105263157
rayo-vallecano,38,16,17,5,50,66,53,1.394736842105263
fc-sevilla,38,14,16,8,58,54,50,1.3157894736842106
fc-getafe,38,13,17,8,43,57,47,1.236842105263158
ud-levante,38,12,16,10,40,57,46,1.2105263157894737
athletic-bilbao,38,12,17,9,44,65,45,1.1842105263157894
espanyol-barcelona,38,11,16,11,43,52,44,1.1578947368421053
real-valladolid,38,11,17,10,49,58,43,1.131578947368421
fc-granada,38,11,18,9,37,54,42,1.105263157894737
ca-osasuna,38,10,19,9,33,50,39,1.0263157894736843
celta-vigo,38,10,21,7,37,52,37,0.9736842105263158
rcd-mallorca,38,9,20,9,43,72,36,0.9473684210526315
deportivo-la-coruna,38,8,19,11,47,70,35,0.9210526315789473
real-saragossa,38,9,22,7,37,62,34,0.8947368421052632
