Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
deportivo-la-coruna,38,21,11,6,66,44,69,1.8157894736842106
fc-barcelona,38,19,12,7,70,46,64,1.6842105263157894
fc-valencia,38,18,10,10,59,39,64,1.6842105263157894
real-saragossa,38,16,7,15,60,40,63,1.6578947368421053
real-madrid,38,16,8,14,58,48,62,1.631578947368421
deportivo-alaves,38,17,11,10,41,37,61,1.605263157894737
celta-vigo,38,15,15,8,45,43,53,1.394736842105263
real-valladolid,38,14,13,11,36,44,53,1.394736842105263
rayo-vallecano,38,15,16,7,51,53,52,1.368421052631579
rcd-mallorca,38,14,15,9,52,45,51,1.3421052631578947
athletic-bilbao,38,12,12,14,47,57,50,1.3157894736842106
fc-malaga,38,11,12,15,55,50,48,1.263157894736842
real-sociedad-san-sebastian,38,11,13,14,42,49,47,1.236842105263158
espanyol-barcelona,38,12,15,11,51,48,47,1.236842105263158
racing-santander,38,10,12,16,52,50,46,1.2105263157894737
real-oviedo,38,11,15,12,44,60,45,1.1842105263157894
cd-numancia,38,11,15,12,47,59,45,1.1842105263157894
real-betis-sevilla,38,11,18,9,33,56,42,1.105263157894737
atletico-madrid,38,9,18,11,48,64,38,1.0
fc-sevilla,38,5,20,13,42,67,28,0.7368421052631579
