Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-valencia,38,21,5,12,51,27,75,1.9736842105263157
deportivo-la-coruna,38,20,10,8,65,41,68,1.7894736842105263
real-madrid,38,19,10,9,69,44,66,1.736842105263158
fc-barcelona,38,18,10,10,65,37,64,1.6842105263157894
celta-vigo,38,16,10,12,64,46,60,1.5789473684210527
real-betis-sevilla,38,15,9,14,42,34,59,1.5526315789473684
deportivo-alaves,38,17,18,3,41,44,54,1.4210526315789473
athletic-bilbao,38,14,13,11,54,66,53,1.394736842105263
fc-sevilla,38,14,13,11,51,40,53,1.394736842105263
fc-malaga,38,13,11,14,44,44,53,1.394736842105263
rayo-vallecano,38,13,15,10,46,52,49,1.2894736842105263
real-valladolid,38,13,16,9,45,58,48,1.263157894736842
real-sociedad-san-sebastian,38,13,17,8,48,54,47,1.236842105263158
espanyol-barcelona,38,13,17,8,47,56,47,1.236842105263158
fc-villarreal,38,11,17,10,46,55,43,1.131578947368421
rcd-mallorca,38,11,17,10,40,52,43,1.131578947368421
ca-osasuna,38,10,16,12,36,49,42,1.105263157894737
ud-las-palmas,38,9,16,13,40,50,40,1.0526315789473684
cd-teneriffa,38,10,20,8,32,58,38,1.0
real-saragossa,38,9,19,10,35,54,37,0.9736842105263158
