Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
real-madrid,38,29,3,6,106,41,93,2.4473684210526314
fc-barcelona,38,28,4,6,116,37,90,2.3684210526315788
atletico-madrid,38,23,6,9,70,27,78,2.0526315789473686
fc-sevilla,38,21,8,9,69,49,72,1.894736842105263
fc-villarreal,38,19,9,10,56,33,67,1.763157894736842
real-sociedad-san-sebastian,38,19,12,7,59,53,64,1.6842105263157894
athletic-bilbao,38,19,13,6,53,43,63,1.6578947368421053
espanyol-barcelona,38,15,12,11,49,50,56,1.4736842105263157
deportivo-alaves,38,14,11,13,41,43,55,1.4473684210526316
sd-eibar,38,15,14,9,56,51,54,1.4210526315789473
fc-malaga,38,12,16,10,49,55,46,1.2105263157894737
fc-valencia,38,13,18,7,56,65,46,1.2105263157894737
celta-vigo,38,13,19,6,53,69,45,1.1842105263157894
ud-las-palmas,38,10,19,9,53,74,39,1.0263157894736843
real-betis-sevilla,38,10,19,9,41,64,39,1.0263157894736843
deportivo-la-coruna,38,8,18,12,43,61,36,0.9473684210526315
cd-leganes,38,8,19,11,36,55,35,0.9210526315789473
sporting-gijon,38,7,21,10,42,72,31,0.8157894736842105
ca-osasuna,38,4,24,10,40,94,22,0.5789473684210527
fc-granada,38,4,26,8,30,82,20,0.5263157894736842
