Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-barcelona,38,25,6,7,80,35,82,2.1578947368421053
real-madrid,38,20,8,10,70,40,70,1.8421052631578947
fc-valencia,38,19,7,12,58,33,69,1.8157894736842106
ca-osasuna,38,21,12,5,49,43,68,1.7894736842105263
fc-sevilla,38,20,10,8,54,39,68,1.7894736842105263
celta-vigo,38,20,14,4,45,33,64,1.6842105263157894
fc-villarreal,38,14,9,15,50,39,57,1.5
deportivo-la-coruna,38,15,13,10,47,45,55,1.4473684210526316
fc-getafe,38,15,14,9,54,49,54,1.4210526315789473
atletico-madrid,38,13,12,13,45,37,52,1.368421052631579
real-saragossa,38,10,12,16,46,51,46,1.2105263157894737
athletic-bilbao,38,11,15,12,40,46,45,1.1842105263157894
rcd-mallorca,38,10,15,13,37,51,43,1.131578947368421
real-betis-sevilla,38,10,16,12,34,51,42,1.105263157894737
espanyol-barcelona,38,10,17,11,36,56,41,1.0789473684210527
real-sociedad-san-sebastian,38,11,20,7,48,65,40,1.0526315789473684
racing-santander,38,9,16,13,36,49,40,1.0526315789473684
deportivo-alaves,38,9,17,12,35,54,39,1.0263157894736843
cadiz-cf,38,8,18,12,36,52,36,0.9473684210526315
fc-malaga,38,5,24,9,36,68,24,0.631578947368421
