Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
real-madrid,38,22,4,12,86,42,78,2.0526315789473686
real-sociedad-san-sebastian,38,22,6,10,71,45,76,2.0
deportivo-la-coruna,38,22,10,6,67,47,72,1.894736842105263
celta-vigo,38,17,11,10,45,36,61,1.605263157894737
fc-valencia,38,17,12,9,56,35,60,1.5789473684210527
fc-barcelona,38,15,12,11,63,47,56,1.4736842105263157
athletic-bilbao,38,15,13,10,63,61,55,1.4473684210526316
real-betis-sevilla,38,14,12,12,56,53,54,1.4210526315789473
rcd-mallorca,38,14,14,10,49,56,52,1.368421052631579
fc-sevilla,38,13,14,11,38,39,50,1.3157894736842106
ca-osasuna,38,12,15,11,40,48,47,1.236842105263158
atletico-madrid,38,12,15,11,51,56,47,1.236842105263158
fc-malaga,38,11,14,13,44,49,46,1.2105263157894737
real-valladolid,38,12,16,10,37,40,46,1.2105263157894737
fc-villarreal,38,11,15,12,44,53,45,1.1842105263157894
racing-santander,38,13,20,5,54,64,44,1.1578947368421053
espanyol-barcelona,38,10,15,13,48,54,43,1.131578947368421
recreativo-huelva,38,8,18,12,35,61,36,0.9473684210526315
deportivo-alaves,38,8,19,11,38,68,35,0.9210526315789473
rayo-vallecano,38,7,20,11,31,62,32,0.8421052631578947
