Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-barcelona,38,29,5,4,112,29,91,2.3947368421052633
real-madrid,38,28,4,6,110,34,90,2.3684210526315788
atletico-madrid,38,28,6,4,63,18,88,2.3157894736842106
fc-villarreal,38,18,10,10,44,35,64,1.6842105263157894
athletic-bilbao,38,18,12,8,58,45,62,1.631578947368421
celta-vigo,38,17,12,9,51,59,60,1.5789473684210527
fc-sevilla,38,14,14,10,51,50,52,1.368421052631579
fc-malaga,38,12,14,12,38,35,48,1.263157894736842
real-sociedad-san-sebastian,38,13,16,9,45,48,48,1.263157894736842
real-betis-sevilla,38,11,15,12,34,52,45,1.1842105263157894
ud-las-palmas,38,12,18,8,45,53,44,1.1578947368421053
fc-valencia,38,11,16,11,46,48,44,1.1578947368421053
espanyol-barcelona,38,12,19,7,40,74,43,1.131578947368421
sd-eibar,38,11,17,10,49,61,43,1.131578947368421
deportivo-la-coruna,38,8,12,18,45,61,42,1.105263157894737
fc-granada,38,10,19,9,46,69,39,1.0263157894736843
sporting-gijon,38,10,19,9,40,62,39,1.0263157894736843
rayo-vallecano,38,9,18,11,52,73,38,1.0
fc-getafe,38,9,20,9,37,67,36,0.9473684210526315
ud-levante,38,8,22,8,37,70,32,0.8421052631578947
