Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-barcelona,38,31,1,6,98,24,99,2.6052631578947367
real-madrid,38,31,4,3,102,35,96,2.526315789473684
fc-valencia,38,21,9,8,59,40,71,1.868421052631579
fc-sevilla,38,19,13,6,65,49,63,1.6578947368421053
rcd-mallorca,38,18,12,8,59,44,62,1.631578947368421
fc-getafe,38,17,14,7,58,48,58,1.5263157894736843
fc-villarreal,38,16,14,8,58,57,56,1.4736842105263157
athletic-bilbao,38,15,14,9,50,53,54,1.4210526315789473
atletico-madrid,38,13,17,8,57,61,47,1.236842105263158
deportivo-la-coruna,38,13,17,8,35,49,47,1.236842105263158
espanyol-barcelona,38,11,16,11,29,46,44,1.1578947368421053
ca-osasuna,38,11,17,10,37,46,43,1.131578947368421
ud-almeria,38,10,16,12,43,55,42,1.105263157894737
real-saragossa,38,10,17,11,46,64,41,1.0789473684210527
sporting-gijon,38,9,16,13,36,51,40,1.0526315789473684
racing-santander,38,9,17,12,42,59,39,1.0263157894736843
fc-malaga,38,7,15,16,42,48,37,0.9736842105263158
cd-teneriffa,38,9,20,9,40,74,36,0.9473684210526315
real-valladolid,38,7,16,15,37,62,36,0.9473684210526315
deportivo-xerez,38,8,20,10,38,66,34,0.8947368421052632
