Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-barcelona,38,25,4,9,73,29,84,2.210526315789474
real-madrid,38,25,8,5,71,32,80,2.1052631578947367
fc-villarreal,38,18,9,11,69,37,65,1.7105263157894737
real-betis-sevilla,38,16,8,14,62,50,62,1.631578947368421
espanyol-barcelona,38,17,11,10,54,46,61,1.605263157894737
fc-sevilla,38,17,12,9,44,41,60,1.5789473684210527
fc-valencia,38,14,8,16,54,39,58,1.5263157894736843
deportivo-la-coruna,38,12,11,15,46,50,51,1.3421052631578947
athletic-bilbao,38,14,15,9,59,54,51,1.3421052631578947
real-saragossa,38,14,16,8,52,57,50,1.3157894736842106
atletico-madrid,38,13,14,11,40,34,50,1.3157894736842106
fc-malaga,38,14,17,7,38,48,49,1.2894736842105263
fc-getafe,38,12,15,11,38,46,47,1.236842105263158
real-sociedad-san-sebastian,38,13,17,8,47,56,47,1.236842105263158
ca-osasuna,38,12,16,10,46,65,46,1.2105263157894737
racing-santander,38,12,17,9,41,56,45,1.1842105263157894
rcd-mallorca,38,10,19,9,42,63,39,1.0263157894736843
ud-levante,38,9,19,10,39,58,37,0.9736842105263158
cd-numancia,38,6,21,11,30,61,29,0.7631578947368421
albacete-balompie,38,6,22,10,33,56,28,0.7368421052631579
