Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
real-madrid,38,32,2,4,121,32,100,2.6315789473684212
fc-barcelona,38,28,3,7,114,29,91,2.3947368421052633
fc-valencia,38,17,11,10,59,44,61,1.605263157894737
fc-malaga,38,17,14,7,54,53,58,1.5263157894736843
atletico-madrid,38,15,12,11,53,46,56,1.4736842105263157
ud-levante,38,16,15,7,54,50,55,1.4473684210526316
ca-osasuna,38,13,10,15,44,61,54,1.4210526315789473
rcd-mallorca,38,14,14,10,42,46,52,1.368421052631579
fc-sevilla,38,13,14,11,48,47,50,1.3157894736842106
athletic-bilbao,38,12,13,13,49,52,49,1.2894736842105263
fc-getafe,38,12,15,11,40,51,47,1.236842105263158
real-sociedad-san-sebastian,38,12,15,11,46,52,47,1.236842105263158
real-betis-sevilla,38,13,17,8,47,56,47,1.236842105263158
espanyol-barcelona,38,12,16,10,46,56,46,1.2105263157894737
rayo-vallecano,38,13,21,4,53,73,43,1.131578947368421
real-saragossa,38,12,19,7,36,61,43,1.131578947368421
fc-granada,38,12,20,6,35,56,42,1.105263157894737
fc-villarreal,38,9,15,14,39,53,41,1.0789473684210527
sporting-gijon,38,10,21,7,42,69,37,0.9736842105263158
racing-santander,38,4,19,15,28,63,27,0.7105263157894737
