Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Inter,38,84,25,9,4,70,32
2,Juventus,38,74,21,11,6,69,37
3,AC Milan,38,74,22,8,8,70,35
4,Fiorentina,38,68,21,5,12,53,38
5,Genoa,38,68,19,11,8,56,39
6,Roma,38,63,18,9,11,64,61
7,Udinese,38,58,16,10,12,61,50
8,Palermo,38,57,17,6,15,57,50
9,Cagliari,38,53,15,8,15,49,50
10,Lazio,38,50,15,5,18,46,55
11,Atalanta,38,47,13,8,17,45,48
12,SSC Napoli,38,46,12,10,16,43,45
13,Sampdoria,38,46,11,13,14,49,52
14,Robur Siena,38,44,12,8,18,33,44
15,Catania,38,43,12,7,19,41,51
16,Chievo,38,38,8,14,16,35,49
17,Bologna,38,37,9,10,19,43,62
18,Torino,38,34,8,10,20,37,61
19,Reggina,38,31,6,13,19,30,62
20,Lecce,38,30,5,15,18,37,67
