Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Roma,34,150,22,9,3,68,33
2,Juventus,34,146,21,10,3,61,27
3,Lazio,34,138,21,6,7,65,36
4,Parma,34,112,16,8,10,51,31
5,Inter,34,102,14,9,11,47,47
6,AC Milan,34,98,12,13,9,56,46
7,Atalanta,34,88,10,14,10,38,34
8,Brescia,34,88,10,14,10,44,42
9,Fiorentina,34,86,10,13,11,53,52
10,Bologna,34,86,11,10,13,49,53
11,Perugia,34,84,10,12,12,49,53
12,Udinese,34,76,11,5,18,49,59
13,Lecce,34,74,8,13,13,40,54
14,Reggina,34,74,10,7,17,32,49
15,Verona,34,74,10,7,17,40,59
16,Vicenza,34,72,9,9,16,37,51
17,SSC Napoli,34,72,8,12,14,35,51
18,Bari,34,40,5,5,24,31,68
