Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Juventus,38,172,26,8,4,67,27
2,AC Milan,38,158,23,10,5,63,28
3,Inter,38,144,18,18,2,65,37
4,Udinese,38,124,17,11,10,56,40
5,Sampdoria,38,122,17,10,11,42,29
6,Palermo,38,106,12,17,9,48,44
7,Messina,38,96,12,12,14,44,52
8,Roma,38,90,11,12,15,55,58
9,Livorno,38,90,11,12,15,49,60
10,Reggina,38,88,10,14,14,36,45
11,Lecce,38,88,10,14,14,66,73
12,Cagliari,38,88,10,14,14,51,60
13,Lazio,38,88,11,11,16,48,53
14,Robur Siena,38,86,9,16,13,44,55
15,Chievo,38,86,11,10,17,32,49
16,Fiorentina,38,84,9,15,14,42,50
17,Bologna,38,84,9,15,14,33,36
18,Parma,38,84,10,12,16,48,65
19,Brescia,38,82,11,8,19,37,54
20,Atalanta,38,70,8,11,19,34,45
