Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Juventus,38,0,27,10,1,71,24
2,AC Milan,38,58,28,4,6,85,31
3,Inter,38,76,23,7,8,68,30
4,Fiorentina,38,44,22,8,8,66,41
5,Roma,38,69,19,12,7,70,42
6,Lazio,38,32,16,14,8,57,47
7,Chievo,38,54,13,15,10,54,49
8,Palermo,38,52,13,13,12,50,52
9,Livorno,38,49,12,13,13,37,44
10,Parma,38,45,12,9,17,46,60
11,Empoli,38,45,13,6,19,47,61
12,Ascoli Picchio FC 1898,38,43,9,16,13,43,53
13,Udinese,38,43,11,10,17,40,54
14,Sampdoria,38,41,10,11,17,47,51
15,Reggina,38,41,11,8,19,39,65
16,Cagliari,38,39,8,15,15,42,55
17,Robur Siena,38,39,9,12,17,42,60
18,Messina,38,31,6,13,19,33,59
19,Lecce,38,29,7,8,23,30,57
20,Treviso,38,21,3,12,23,24,56
