Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Juventus,38,102,33,3,2,80,23
2,Roma,38,85,26,7,5,72,25
3,SSC Napoli,38,78,23,9,6,77,39
4,Fiorentina,38,65,19,8,11,65,44
5,Inter,38,60,15,15,8,62,39
6,Parma,38,58,15,13,10,58,46
7,Torino,38,57,15,12,11,58,48
8,AC Milan,38,57,16,9,13,57,49
9,Lazio,38,56,15,11,12,54,54
10,Verona,38,54,16,6,16,62,68
11,Atalanta,38,50,15,5,18,43,51
12,Sampdoria,38,45,12,9,17,48,62
13,Udinese,38,44,12,8,18,46,57
14,Genoa,38,44,11,11,16,41,50
15,Cagliari,38,39,9,12,17,34,53
16,Chievo,38,36,10,6,22,34,54
17,Sassuolo,38,34,9,7,22,43,72
18,Catania,38,32,8,8,22,34,66
19,Bologna,38,29,5,14,19,28,58
20,Livorno,38,25,6,7,25,39,77
