Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,AC Milan,38,82,24,10,4,65,24
2,Inter,38,76,23,7,8,69,42
3,SSC Napoli,38,70,21,7,10,59,39
4,Udinese,38,66,20,6,12,65,43
5,Lazio,38,66,20,6,12,55,39
6,Roma,38,63,18,9,11,59,52
7,Juventus,38,58,15,13,10,57,47
8,Palermo,38,56,17,5,16,58,63
9,Fiorentina,38,51,12,15,11,49,44
10,Genoa,38,51,14,9,15,45,47
11,Chievo,38,46,11,13,14,38,40
12,Parma,38,46,11,13,14,39,47
13,Catania,38,46,12,10,16,40,52
14,Cagliari,38,45,12,9,17,44,51
15,Bologna,38,45,11,12,15,35,52
16,Cesena,38,43,11,10,17,38,50
17,Lecce,38,41,11,8,19,46,66
18,Sampdoria,38,36,8,12,18,33,49
19,Brescia,38,32,7,11,20,34,52
20,Bari,38,24,5,9,24,27,56
