Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Inter,38,82,24,10,4,75,34
2,Roma,38,80,24,8,6,68,41
3,AC Milan,38,70,20,10,8,60,39
4,Sampdoria,38,67,19,10,9,49,41
5,Palermo,38,65,18,11,9,59,47
6,SSC Napoli,38,59,15,14,9,50,43
7,Juventus,38,55,16,7,15,55,56
8,Parma,38,52,14,10,14,46,51
9,Genoa,38,51,14,9,15,57,61
10,Bari,38,50,13,11,14,49,49
11,Fiorentina,38,47,13,8,17,48,47
12,Lazio,38,46,11,13,14,39,43
13,Catania,38,45,10,15,13,44,45
14,Cagliari,38,44,11,11,16,56,58
15,Udinese,38,44,11,11,16,54,59
16,Chievo,38,44,12,8,18,37,42
17,Bologna,38,42,10,12,16,42,55
18,Atalanta,38,35,9,8,21,37,53
19,Robur Siena,38,31,7,10,21,40,67
20,Livorno,38,29,7,8,23,27,61
