Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Inter,38,85,25,10,3,69,26
2,Roma,38,82,24,10,4,72,37
3,Juventus,38,72,20,12,6,72,37
4,Fiorentina,38,66,19,9,10,55,39
5,AC Milan,38,64,18,10,10,66,38
6,Sampdoria,38,60,17,9,12,56,46
7,Udinese,38,57,16,9,13,48,53
8,SSC Napoli,38,50,14,8,16,50,53
9,Atalanta,38,48,12,12,14,52,56
10,Genoa,38,48,13,9,16,44,52
11,Palermo,38,47,12,11,15,47,57
12,Lazio,38,46,11,13,14,47,51
13,Robur Siena,38,44,9,17,12,40,45
14,Cagliari,38,42,11,9,18,40,56
15,Torino,38,40,8,16,14,36,49
16,Reggina,38,40,9,13,16,37,56
17,Catania,38,37,8,13,17,33,45
18,Empoli,38,36,9,9,20,29,52
19,Parma,38,34,7,13,18,42,62
20,Livorno,38,30,6,12,20,35,60
