Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Inter,38,97,30,7,1,80,34
2,Roma,38,75,22,9,7,74,34
3,Fiorentina,38,58,21,10,7,62,31
4,AC Milan,38,61,19,12,7,57,36
5,Lazio,38,62,18,11,9,59,33
6,Palermo,38,58,16,10,12,58,51
7,Empoli,38,54,14,12,12,42,43
8,Reggina,38,40,12,15,11,52,50
9,Atalanta,38,50,12,14,12,56,54
10,Sampdoria,38,49,13,10,15,44,48
11,Udinese,38,46,12,10,16,49,55
12,Livorno,38,43,10,13,15,41,54
13,Parma,38,42,10,12,16,41,56
14,Catania,38,41,10,11,17,46,68
15,Robur Siena,38,40,9,14,15,35,45
16,Cagliari,38,40,9,13,16,35,46
17,Torino,38,40,10,10,18,27,47
18,Chievo,38,39,9,12,17,38,48
19,Ascoli Picchio FC 1898,38,27,5,12,21,36,67
20,Messina,38,26,5,11,22,37,69
