Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Juventus,38,84,23,15,0,68,20
2,AC Milan,38,80,24,8,6,74,33
3,Udinese,38,64,18,10,10,52,35
4,Lazio,38,62,18,8,12,56,47
5,SSC Napoli,38,61,16,13,9,66,46
6,Inter,38,58,17,7,14,58,55
7,Roma,38,56,16,8,14,60,54
8,Parma,38,56,15,11,12,54,53
9,Atalanta,38,52,13,13,12,41,43
10,Bologna,38,51,13,12,13,41,43
11,Chievo,38,49,12,13,13,35,45
12,Catania,38,48,11,15,12,47,52
13,Fiorentina,38,46,11,13,14,37,43
14,Robur Siena,38,44,11,11,16,45,45
15,Cagliari,38,43,10,13,15,37,46
16,Palermo,38,43,11,10,17,52,62
17,Genoa,38,42,11,9,18,50,69
18,Lecce,38,36,8,12,18,40,56
19,Novara,38,32,7,11,20,35,65
20,Cesena,38,22,4,10,24,24,60
