Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Juventus,38,87,27,6,5,71,24
2,SSC Napoli,38,78,23,9,6,73,36
3,AC Milan,38,72,21,9,8,67,39
4,Fiorentina,38,70,21,7,10,72,44
5,Udinese,38,66,18,12,8,59,45
6,Roma,38,62,18,8,12,71,56
7,Lazio,38,61,18,7,13,51,42
8,Catania,38,56,15,11,12,50,46
9,Inter,38,54,16,6,16,55,57
10,Parma,38,49,13,10,15,45,46
11,Cagliari,38,47,12,11,15,43,55
12,Chievo,38,45,12,9,17,37,52
13,Bologna,38,44,11,11,16,46,52
14,Sampdoria,38,43,11,10,17,43,51
15,Atalanta,38,42,11,9,18,39,56
16,Torino,38,40,8,16,14,46,55
17,Genoa,38,38,8,14,16,38,52
18,Robur Siena,38,36,9,9,20,36,57
19,Palermo,38,32,6,14,18,34,54
20,Pescara,38,22,6,4,28,27,84
