Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Juventus,38,91,29,4,5,77,27
2,Roma,38,87,28,3,7,90,38
3,SSC Napoli,38,86,26,8,4,94,39
4,Atalanta,38,72,21,9,8,62,41
5,Lazio,38,70,21,7,10,74,51
6,AC Milan,38,63,18,9,11,57,45
7,Inter,38,62,19,5,14,72,49
8,Fiorentina,38,60,16,12,10,63,57
9,Torino,38,53,13,14,11,71,66
10,Sampdoria,38,48,12,12,14,49,55
11,Cagliari,38,47,14,5,19,55,76
12,Sassuolo,38,46,13,7,18,58,63
13,Udinese,38,45,12,9,17,47,56
14,Chievo,38,43,12,7,19,43,61
15,Bologna,38,41,11,8,19,40,58
16,Genoa,38,36,9,9,20,38,64
17,Crotone,38,34,9,7,22,34,58
18,Empoli,38,32,8,8,22,29,61
19,Palermo,38,26,6,8,24,33,77
20,Pescara,38,18,3,9,26,37,81
