Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,AC Milan,34,82,25,7,2,65,24
2,Roma,34,71,21,8,5,68,19
3,Juventus,34,69,21,6,7,67,42
4,Inter,34,59,17,8,9,59,37
5,Parma,34,58,16,10,8,57,46
6,Lazio,34,56,16,8,10,52,38
7,Udinese,34,50,13,11,10,44,40
8,Sampdoria,34,46,11,13,10,40,42
9,Chievo,34,44,11,11,12,36,37
10,Lecce,34,41,11,8,15,43,56
11,Brescia,34,40,9,13,12,52,57
12,Bologna,34,39,10,9,15,45,53
13,Reggina,34,34,6,16,12,29,45
14,Robur Siena,34,34,8,10,16,41,54
15,Perugia,34,32,6,14,14,44,56
16,Modena,34,30,6,12,16,27,46
17,Empoli,34,30,7,9,18,26,54
18,Ancona,34,13,2,7,25,21,70
