Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Juventus,34,142,20,11,3,64,23
2,Roma,34,140,19,13,2,58,24
3,Inter,34,138,20,9,5,62,35
4,AC Milan,34,110,14,13,7,47,33
5,Chievo,34,108,14,12,8,57,52
6,Lazio,34,106,14,11,9,50,37
7,Bologna,34,104,15,7,12,40,40
8,Perugia,34,92,13,7,14,38,46
9,Atalanta,34,90,12,9,13,41,50
10,Parma,34,88,12,8,14,43,47
11,Torino,34,86,10,13,11,37,39
12,Piacenza,34,84,11,9,14,49,43
13,Brescia,34,80,9,13,12,43,52
14,Udinese,34,80,11,7,16,41,52
15,Verona,34,78,11,6,17,41,53
16,Lecce,34,56,6,10,18,36,56
17,Fiorentina,34,44,5,7,22,29,63
18,Venezia,34,36,3,9,22,30,61
