Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,PSG,38,96,30,6,2,102,19
2,Lyon,38,65,19,8,11,67,43
3,Monaco,38,65,17,14,7,57,50
4,Nice,38,63,18,9,11,60,43
5,Lille,38,60,15,15,8,39,27
6,Saint-Etienne,38,58,17,7,14,42,37
7,Caen,38,54,16,6,16,39,52
8,Rennes,38,52,13,13,12,52,54
9,Angers,38,50,13,11,14,40,38
10,SC Bastia,38,50,14,8,16,36,42
11,Bordeaux,38,50,12,14,12,50,57
12,Montpellier,38,49,14,7,17,49,47
13,Marseille,38,48,10,18,10,48,42
14,Nantes,38,48,12,12,14,35,46
15,Lorient,38,46,11,13,14,47,58
16,Guingamp,38,44,11,11,16,47,56
17,Toulouse,38,40,9,13,16,45,55
18,Reims,38,39,10,9,19,44,57
19,GFC Ajaccio,38,37,8,13,17,37,58
20,Troyes,38,18,3,9,26,28,83
