Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,PSG,38,83,24,11,3,83,36
2,Lyon,38,75,22,9,7,72,33
3,Monaco,38,71,20,11,7,51,26
4,Marseille,38,69,21,6,11,76,42
5,Saint-Etienne,38,69,19,12,7,51,30
6,Bordeaux,38,63,17,12,9,47,44
7,Montpellier,38,56,16,8,14,46,39
8,Lille,38,56,16,8,14,43,42
9,Rennes,38,50,13,11,14,35,42
10,Guingamp,38,49,15,4,19,41,55
11,Nice,38,48,13,9,16,44,53
12,SC Bastia,38,47,12,11,15,37,46
13,Caen,38,46,12,10,16,54,55
14,Nantes,38,45,11,12,15,29,40
15,Reims,38,44,12,8,18,47,66
16,Lorient,38,43,12,7,19,44,50
17,Toulouse,38,42,12,6,20,43,64
18,Evian Thonon Gaillard,38,37,11,4,23,41,62
19,Metz,38,30,7,9,22,31,61
20,Lens,38,29,7,8,23,32,61
