Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Lyon,38,79,24,7,7,64,26
2,PSG,38,76,22,10,6,50,28
3,Monaco,38,75,21,12,5,59,30
4,Auxerre,38,65,19,8,11,60,34
5,Sochaux,38,63,18,9,11,54,42
6,Nantes,38,60,17,9,12,47,35
7,Marseille,38,57,17,6,15,51,45
8,Lens,38,53,15,8,15,34,48
9,Rennes,38,52,14,10,14,56,44
10,Lille,38,51,14,9,15,41,41
11,Bordeaux,38,50,13,11,14,40,43
12,Nice,38,50,11,17,10,42,39
13,Strasbourg,38,43,10,13,15,43,50
14,Metz,38,42,11,9,18,34,42
15,AC Ajaccio,38,40,10,10,18,33,55
16,SC Bastia,38,39,9,12,17,33,49
17,Toulouse,38,39,9,12,17,31,44
18,Guingamp,38,38,10,8,20,36,58
19,Le Mans,38,38,9,11,18,35,57
20,Montpellier,38,31,8,7,23,41,74
