Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Lyon,38,79,24,7,7,74,37
2,Bordeaux,38,75,22,9,7,65,38
3,Marseille,38,62,17,11,10,58,45
4,Nancy,38,60,15,15,8,44,30
5,Saint-Etienne,38,58,16,10,12,47,34
6,Rennes,38,58,16,10,12,47,44
7,Lille,38,57,13,18,7,45,32
8,Nice,38,55,13,16,9,35,30
9,Le Mans,38,53,14,11,13,46,49
10,Lorient,38,52,12,16,10,32,35
11,Caen,38,51,13,12,13,48,53
12,Monaco,38,47,13,8,17,40,48
13,Valenciennes,38,45,12,9,17,42,40
14,Sochaux,38,44,10,14,14,34,43
15,Auxerre,38,44,12,8,18,33,52
16,PSG,38,43,10,13,15,37,45
17,Toulouse,38,42,9,15,14,36,42
18,Lens,38,40,9,13,16,43,52
19,Strasbourg,38,35,9,8,21,34,55
20,Metz,38,24,5,9,24,28,64
