Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Lille,38,76,21,13,4,68,36
2,Marseille,38,68,18,14,6,62,39
3,Lyon,38,64,17,13,8,61,40
4,PSG,38,60,15,15,8,56,41
5,Sochaux,38,58,17,7,14,60,43
6,Rennes,38,56,15,11,12,38,35
7,Bordeaux,38,51,12,15,11,43,42
8,Toulouse,38,50,14,8,16,38,36
9,Auxerre,38,49,10,19,9,45,41
10,Saint-Etienne,38,49,12,13,13,46,47
11,Lorient,38,49,12,13,13,46,48
12,Valenciennes,38,48,10,18,10,45,41
13,Nancy,38,48,13,9,16,43,48
14,Montpellier,38,47,12,11,15,32,43
15,Caen,38,46,11,13,14,46,51
16,Brest,38,46,11,13,14,36,43
17,Nice,38,46,11,13,14,33,48
18,Monaco,38,44,9,17,12,36,40
19,Lens,38,35,7,14,17,35,58
20,Arles-Avignon,38,20,3,11,24,21,70
