Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,PSG,38,83,25,8,5,69,23
2,Marseille,38,71,21,8,9,42,36
3,Lyon,38,67,19,10,9,61,38
4,Nice,38,64,18,10,10,57,46
5,Saint-Etienne,38,63,16,15,7,60,32
6,Lille,38,62,16,14,8,59,40
7,Bordeaux,38,55,13,16,9,40,34
8,Lorient,38,53,14,11,13,57,58
9,Montpellier,38,52,15,7,16,54,51
10,Toulouse,38,51,13,12,13,49,47
11,Valenciennes,38,48,12,12,14,49,53
12,SC Bastia,38,47,13,8,17,50,66
13,Rennes,38,46,13,7,18,48,59
14,Reims,38,43,10,13,15,33,42
15,AC Ajaccio,38,42,9,15,14,39,51
16,Sochaux,38,41,10,11,17,41,57
17,Evian Thonon Gaillard,38,40,10,10,18,46,53
18,Nancy,38,38,9,11,18,38,58
19,Troyes,38,37,8,13,17,43,61
20,Brest,38,29,8,5,25,32,62
