Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Marseille,38,78,23,9,6,69,36
2,Lyon,38,72,20,12,6,64,38
3,Auxerre,38,71,20,11,7,42,29
4,Lille,38,70,21,7,10,72,40
5,Montpellier,38,69,20,9,9,50,40
6,Bordeaux,38,64,19,7,12,58,40
7,Lorient,38,58,16,10,12,54,42
8,Monaco,38,55,15,10,13,39,45
9,Rennes,38,53,14,11,13,52,41
10,Valenciennes,38,52,14,10,14,50,50
11,Lens,38,48,12,12,14,40,44
12,Nancy,38,48,13,9,16,46,53
13,PSG,38,47,12,11,15,50,46
14,Toulouse,38,47,12,11,15,36,36
15,Nice,38,44,11,11,16,41,57
16,Sochaux,38,41,11,8,19,28,52
17,Saint-Etienne,38,40,10,10,18,27,45
18,Le Mans,38,32,8,8,22,36,59
19,Boulogne,38,31,7,10,21,31,62
20,Grenoble,38,23,5,8,25,31,61
