Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Lyon,38,81,24,9,5,64,27
2,Marseille,38,64,19,7,12,53,38
3,Rennes,38,57,14,15,9,38,30
4,Lens,38,57,15,12,11,47,41
5,Bordeaux,38,57,16,9,13,39,35
6,Sochaux,38,57,15,12,11,46,48
7,Toulouse,38,58,16,8,14,44,43
8,Auxerre,38,54,13,15,10,41,41
9,Monaco,38,51,13,12,13,45,38
10,Lille,38,50,13,11,14,45,43
11,Saint-Etienne,38,49,14,7,17,52,50
12,Le Mans,38,49,11,16,11,45,46
13,Lorient,38,49,12,13,13,33,40
14,Nancy,38,49,13,10,15,37,44
15,PSG,38,48,12,12,14,42,42
16,Nice,38,43,9,16,13,34,40
17,Valenciennes,38,43,11,10,17,36,48
18,Troyes,38,39,9,12,17,39,54
19,Nantes,38,34,7,14,17,29,49
20,Sedan,38,35,7,14,17,46,58
