Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Lyon,34,66,20,6,8,62,32
2,Lens,34,64,18,10,6,55,30
3,Auxerre,34,59,16,11,7,48,38
4,PSG,34,58,15,13,6,43,24
5,Lille,34,56,15,11,8,39,32
6,Bordeaux,34,50,14,8,12,34,31
7,Troyes,34,47,13,8,13,40,35
8,Sochaux,34,46,12,10,12,41,40
9,Marseille,34,44,11,11,12,34,39
10,Nantes,34,43,12,7,15,35,41
11,Rennes,34,41,11,8,15,40,51
12,SC Bastia,34,41,12,5,17,38,44
13,Montpellier,34,40,9,13,12,28,31
14,Monaco,34,39,9,12,13,36,41
15,Sedan,34,39,8,15,11,35,39
16,Guingamp,34,35,9,8,17,34,57
17,Metz,34,33,9,6,19,31,47
18,Lorient,34,31,7,10,17,43,64
