Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Montpellier,38,82,25,7,6,68,34
2,PSG,38,79,23,10,5,75,41
3,Lille,38,74,21,11,6,72,39
4,Lyon,38,64,19,7,12,64,51
5,Bordeaux,38,61,16,13,9,53,41
6,Rennes,38,60,17,9,12,53,44
7,Saint-Etienne,38,57,16,9,13,49,45
8,Toulouse,38,56,15,11,12,37,34
9,Evian Thonon Gaillard,38,50,13,11,14,54,55
10,Marseille,38,48,12,12,14,45,41
11,Nancy,38,45,11,12,15,38,48
12,Valenciennes,38,43,12,7,19,40,50
13,Nice,38,42,10,12,16,39,46
14,Sochaux,38,42,11,9,18,40,60
15,Brest,38,41,8,17,13,31,38
16,AC Ajaccio,38,41,9,14,15,40,61
17,Lorient,38,39,9,12,17,35,49
18,Caen,38,38,9,11,18,39,59
19,Dijon,38,36,9,9,20,38,63
20,Auxerre,38,34,7,13,18,46,57
